HUC8 ID,p10,p50,p90
16060011,34.26999817303628,49.168337570038844,72.77712746556308
15030202,42.752694104508564,66.8802768125024,97.82109621858453
15030201,76.66212187992794,140.9044531215735,220.39157337850503
16060013,26.192187827068004,46.620263150204416,78.3152125681993
18090208,25.763105207257237,36.64294395353201,48.85386757338628
16060003,22.541235717521996,46.37403183480584,84.59570039568251
3050105,1995.4062665167544,2581.7059427768327,3269.8201029394127
16040201,94.6490873897368,162.11546122017512,236.30439984776424
14030005,6991.597409269707,10212.510773792386,14033.739728933906
3050102,529.6876802827429,704.8885389081065,912.2167382456169
16060010,38.070797668986394,57.16908172482859,86.63072734726708
11140205,534.1960489206573,748.6234719115998,1002.2744595587527
