HUC8 ID,p10,p50,p90
16060011,43.379404422610946,84.48683237173307,150.71429851425347
15030202,41.03305178801751,82.29305673315594,145.21163663863865
15030201,79.02428197435846,180.87531185867746,338.5420770846608
16060013,33.00512035418548,77.67631617529365,146.4246165088581
18090208,16.567564160281016,22.306748693207496,29.750467991328605
16060003,35.490065512673475,96.2152985380415,195.2017223546837
3050105,1983.7052265781115,2674.355037383016,3388.371933606011
16040201,76.38812494930352,166.27501589609778,295.9521695310183
14030005,4205.613916152048,6874.503093196602,9712.6154883231
3050102,543.5971343014534,719.1536683992433,900.4617956341091
16060010,39.134735150634704,66.51533333793049,109.5044209549139
11140205,366.1896640337751,607.1158686205066,892.7092875797231
