HUC8 ID,p10,p50,p90
16060011,28.770184539548836,33.00293856704077,38.918917857733234
15030202,37.55250224869724,71.27818494587275,122.11276056841776
15030201,68.8610069812905,135.096446881158,229.49322907260859
18100204,454.4686047245395,467.8566271582798,489.7222548152382
16060013,19.59604024134334,31.26304803522642,48.343083953215604
18090208,20.86542673725496,32.11348857480775,48.8590194229112
16060003,12.39125212159241,19.221612092207863,28.900084063604133
3050105,1479.6817477664442,2245.73408770145,3336.7556732529765
16040201,57.48622052055123,112.81661317673942,173.02207368583808
14030005,4118.3230252177655,7071.073388810677,10552.269040524649
3050102,417.1742357256005,637.7657723058526,959.0517337988339
16060010,30.75658828924241,38.501959455847995,49.74683695208703
11140205,334.0348548214316,606.8986208388258,1002.5827479655021
