,HUC 8,baseline tavgC,midterm tavgC,change (C),area (m2),weighted avg
0,1010001,3.009583333333333,5.157103174603175,2.1475198412698417,17222890136.0,36986498291.07064
1,1010002,2.9851666666666667,5.17234126984127,2.187174603174603,3198097222.0,6994797022.441649
2,1010003,3.1854444444444443,5.384722222222222,2.1992777777777777,2304014818.0,5067168588.89811
3,1010004,3.7911944444444443,5.9834523809523805,2.192257936507936,6324223755.0,13864329719.150772
4,1010005,4.705388888888889,6.897698412698412,2.1923095238095236,1936076711.0,4244479412.3511186
5,1020001,3.899111111111111,6.059246031746032,2.1601349206349214,5520935487.0,11925965540.041265
6,1020002,4.031361111111111,6.206785714285714,2.175424603174603,2899615880.0,6307895725.107778
7,1020003,5.1273333333333335,7.289722222222222,2.1623888888888887,3911366037.0,8457894458.786166
8,1020004,4.781444444444444,6.903253968253968,2.1218095238095236,3784873612.0,8030780876.356952
9,1020005,6.322861111111111,8.400436507936508,2.077575396825397,6202366353.0,12885883737.090466
10,1030001,3.6268333333333334,5.769603174603175,2.1427698412698413,4109383298.0,8805462597.172398
11,1030002,3.1518055555555557,5.292103174603175,2.140297619047619,2270360302.0,4859246748.750833
12,1030003,5.874805555555556,7.973531746031746,2.0987261904761905,8885465253.0,18648158641.03725
13,1040001,3.3169166666666667,5.464563492063492,2.1476468253968255,3549929487.0,7623994793.138131
14,1040002,5.993361111111112,8.116904761904761,2.12354365079365,5584844092.0,11859660212.239027
15,1050001,5.692555555555556,7.748055555555556,2.0555000000000003,4261284753.0,8759070809.791502
16,1050002,7.0489444444444445,9.068809523809524,2.019865079365079,13760290256.0,27793929770.021965
17,1050003,6.97861111111111,8.872777777777777,1.894166666666667,3541389759.0,6707982435.172502
18,1060001,7.471583333333333,9.551825396825397,2.0802420634920633,3687466139.0,7670822170.050471
19,1060002,6.35063888888889,8.44452380952381,2.0938849206349204,4405658885.0,9224942704.762756
20,1060003,8.25225,10.291428571428572,2.0391785714285717,4361702644.0,8894290566.588144
21,1070001,5.218222222222223,7.332658730158731,2.1144365079365084,2649280496.0,5601735400.506541
22,1070002,7.168333333333334,9.251071428571429,2.0827380952380947,1258831686.0,2621816707.924999
23,1070003,7.124472222222223,9.179285714285715,2.0548134920634924,1980092605.0,4068721000.2891474
24,1070004,8.429222222222222,10.420634920634921,1.9914126984126987,1377639517.0,2743448827.988937
25,1070005,9.538055555555555,11.505595238095239,1.9675396825396838,1036702417.0,2039753144.432303
26,1070006,8.177222222222222,10.19531746031746,2.0180952380952384,4664426124.0,9413256149.29143
27,1080101,3.8145555555555557,5.976230158730159,2.1616746031746032,3631245577.0,7849571341.691009
28,1080102,4.4376388888888885,6.61718253968254,2.1795436507936516,1315777373.0,2867794219.1801004
29,1080103,5.283833333333334,7.440873015873016,2.157039682539682,2392551174.0,5160827824.8249035
30,1080104,5.69436111111111,7.8377380952380955,2.143376984126985,1339361158.0,2870755879.4908667
31,1080105,5.036888888888888,7.170992063492063,2.134103174603175,1843735874.0,3934722581.8331594
32,1080106,5.987694444444444,8.092261904761905,2.104567460317461,3422878138.0,7203677949.866819
33,1080107,6.152416666666666,8.222261904761904,2.0698452380952377,2198562340.0,4550683790.104523
34,1080201,7.758833333333333,9.790079365079364,2.031246031746032,2636938609.0,5356271085.489151
35,1080202,7.301944444444445,9.314166666666667,2.0122222222222224,1007913031.0,2028144999.0455556
36,1080203,5.994361111111112,8.046904761904763,2.052543650793651,1718228966.0,3526739954.77304
37,1080204,8.153722222222223,10.138849206349207,1.9851269841269836,1871872046.0,3715903709.347586
38,1080205,9.913527777777778,11.84265873015873,1.9291309523809517,2809279002.0,5419467076.63207
39,1080206,7.454805555555555,9.473333333333333,2.018527777777778,1343557033.0,2712007192.1391945
40,1080207,8.46636111111111,10.44623015873016,1.979869047619049,1571449805.0,3111264828.8064904
41,1090001,10.031333333333333,11.979682539682539,1.9483492063492065,2623762015.0,5112004639.574445
42,1090002,9.653722222222223,11.383809523809523,1.7300873015873002,3118335980.0,5394993481.08079
43,1090003,9.295083333333334,11.231507936507937,1.9364246031746024,1228673900.0,2379234369.238491
44,1090004,9.804555555555556,11.611309523809524,1.8067539682539682,3571464446.0,6452757560.28846
45,1090005,9.764527777777777,11.574285714285715,1.8097579365079373,955565849.0,1729342879.0836952
46,1100001,9.019277777777777,10.943214285714285,1.9239365079365083,1913205934.0,3680886743.623366
47,1100002,8.955944444444444,10.882936507936508,1.9269920634920634,1362979926.0,2626451500.101
48,1100003,9.947611111111112,11.833809523809524,1.8861984126984126,955502285.0,1802266893.2967062
49,1100004,10.534805555555556,12.443571428571428,1.9087658730158719,1326991202.0,2532915520.1699114
50,1100005,8.517083333333334,10.497619047619047,1.980535714285713,5050355690.0,10002409813.891066
51,1100006,10.6285,12.557261904761905,1.9287619047619042,1163928390.0,2244940738.5028567
52,1110000,4.528777777777778,6.724444444444445,2.195666666666667,1920366420.0,4216484536.1800003
53,2010001,7.469194444444444,9.588095238095239,2.118900793650795,1780459678.0,3772617424.7774386
54,2010002,6.370583333333333,8.514563492063493,2.1439801587301597,2442782710.0,5237277662.329089
55,2010003,5.402916666666667,7.598730158730159,2.1958134920634915,2753753245.0,6046728529.184622
56,2010004,4.985361111111112,7.152777777777779,2.167416666666667,1333546113.0,2890350071.0847507
57,2010005,5.696888888888889,7.913690476190476,2.216801587301587,1868162755.0,4141346160.621706
58,2010006,5.501388888888888,7.680595238095238,2.17920634920635,1588253105.0,3461131250.5626993
59,2010007,5.745638888888889,7.973809523809523,2.228170634920634,1906418734.0,4247826240.961371
60,2010008,7.097944444444445,9.288214285714286,2.190269841269841,7338397967.0,16073071750.356014
61,2020001,5.082888888888889,7.207182539682539,2.12429365079365,4309337210.0,9154297674.331821
62,2020002,5.735777777777778,7.845714285714285,2.1099365079365073,2731301851.0,5762873489.619458
63,2020003,7.408083333333334,9.492222222222223,2.084138888888889,4936175364.0,10287675038.487667
64,2020004,7.09275,9.208849206349205,2.1160992063492055,6607191545.0,13981472784.57168
65,2020005,6.756194444444445,8.837142857142856,2.0809484126984117,2403261194.0,5001062566.95399
66,2020006,8.2835,10.32642857142857,2.04292857142857,6291533554.0,12853153655.568134
67,2020007,9.573555555555554,11.571349206349206,1.9977936507936516,3077758772.0,6148726933.376066
68,2020008,9.82263888888889,11.812936507936508,1.9902976190476185,2448210626.0,4872667779.854879
69,2030101,10.65863888888889,12.60734126984127,1.9487023809523798,1941384201.0,3783180014.8320336
70,2030102,12.03838888888889,13.951111111111112,1.9127222222222215,487618616.0,932678962.7924441
71,2030103,10.62288888888889,12.550396825396826,1.9275079365079364,2936738903.0,5660587542.984111
72,2030104,11.262527777777779,13.01079365079365,1.748265873015871,1438351242.0,2514620389.7985926
73,2030105,11.280472222222222,13.187142857142858,1.9066706349206353,2863001787.0,5458801434.998203
74,2030201,11.396083333333333,13.237222222222224,1.8411388888888904,750510623.0,1381794294.5295289
75,2030202,10.026694444444445,11.62531746031746,1.5986230158730148,5301908562.0,8475753055.267399
76,2030203,11.257138888888887,13.139642857142857,1.8825039682539693,3081284340.0,5800529997.368813
77,2040101,7.115666666666667,9.162380952380952,2.046714285714285,3083435590.0,6310911671.132854
78,2040102,6.353777777777778,8.403373015873015,2.049595238095237,2176617765.0,4461185406.297498
79,2040103,7.545583333333334,9.545833333333334,2.0002500000000003,1548682029.0,3097751228.5072503
80,2040104,8.472222222222223,10.463690476190475,1.991468253968252,3962018119.0,7890233305.635509
81,2040105,10.354111111111111,12.292619047619047,1.9385079365079356,3520745985.0,6824994034.350949
82,2040106,9.211972222222222,11.165674603174603,1.9537023809523806,3526732725.0,6890186121.815177
83,2040201,11.838527777777777,13.749563492063492,1.911035714285715,1408288006.0,2691288675.4662156
84,2040202,12.48075,14.371190476190478,1.8904404761904772,2981822499.0,5636957944.925038
85,2040203,10.669555555555554,12.617857142857144,1.9483015873015894,4952290568.0,9648555574.41309
86,2040204,12.982305555555554,14.773928571428572,1.791623015873018,1073545182.0,1923388256.650788
87,2040205,12.018055555555556,13.917420634920635,1.8993650793650794,1957460174.0,3717931498.743492
88,2040206,12.754111111111111,14.528134920634919,1.7740238095238077,3094168039.0,5489127771.853589
89,2040207,13.18038888888889,14.864603174603173,1.6842142857142832,1966717369.0,3312373488.8322096
90,2040301,12.123388888888888,13.922063492063492,1.7986746031746037,4460643597.0,8023246351.737312
91,2040302,12.503444444444446,14.21797619047619,1.714531746031744,2234685030.0,3831438426.3169003
92,2040303,12.545444444444446,13.95388888888889,1.408444444444445,2688777425.0,3786993626.5888906
93,2040304,13.956888888888889,15.330357142857142,1.3734682539682534,1927468034.0,2647316155.237602
94,2050101,7.001333333333333,9.082341269841269,2.0810079365079357,5927484355.0,12335141986.281622
95,2050102,7.164611111111111,9.25611111111111,2.091499999999999,4162801140.0,8706498584.309996
96,2050103,7.816333333333334,9.894880952380952,2.078547619047618,2705785276.0,5624103543.083901
97,2050104,7.137361111111111,9.201785714285714,2.0644246031746034,3585130037.0,7401230653.963077
98,2050105,7.501,9.577579365079364,2.076579365079364,3138465084.0,6517271831.456472
99,2050106,7.937805555555555,9.97642857142857,2.038623015873015,5191429783.0,10583368240.912453
100,2050107,8.840749999999998,10.82420634920635,1.9834563492063513,4572750528.0,9069851068.098295
101,2050201,8.197583333333334,10.190357142857144,1.9927738095238094,4136005237.0,8242122912.346916
102,2050202,7.348972222222222,9.37984126984127,2.0308690476190483,2677956590.0,5438579149.498454
103,2050203,7.746944444444444,9.76281746031746,2.0158730158730167,2031224649.0,4094690959.0952396
104,2050204,8.889194444444446,10.87936507936508,1.9901706349206343,2002698459.0,3985711663.7026057
105,2050205,7.222888888888889,9.252579365079365,2.029690476190476,2539975096.0,5155363262.11219
106,2050206,8.590972222222224,10.586785714285714,1.9958134920634905,4686951354.0,9354280748.958445
107,2050301,9.50775,11.47468253968254,1.9669325396825403,3750659463.0,7377294143.042943
108,2050302,9.387555555555556,11.368571428571428,1.9810158730158722,2566366906.0,5084013576.768633
109,2050303,9.619333333333334,11.57968253968254,1.960349206349207,2492090233.0,4885367110.41216
110,2050304,10.011861111111111,11.995793650793651,1.9839325396825398,3756683995.0,7453007618.9851
111,2050305,10.819944444444445,12.792222222222222,1.9722777777777765,4860524176.0,9586303820.676437
112,2050306,11.416,13.366309523809523,1.9503095238095227,6438155069.0,12556395146.833256
113,2060002,12.800833333333333,14.585039682539684,1.7842063492063502,3372799571.0,6017770409.178655
114,2060003,12.620194444444445,14.476468253968253,1.8562738095238078,3671317837.0,6814971147.260696
115,2060004,8.93425,10.127063492063492,1.1928134920634914,954928909.0,1139052086.61667
116,2060005,11.555694444444445,13.00265873015873,1.4469642857142855,2844434648.0,4115795348.704285
117,2060006,13.173027777777778,14.967301587301588,1.7942738095238102,2401095729.0,4308223180.70418
118,2070001,10.05861111111111,11.933095238095238,1.874484126984127,3832791996.0,7184507758.53381
119,2070002,9.803833333333333,11.710277777777778,1.9064444444444444,3478643914.0,6631841364.045777
120,2070003,10.477749999999999,12.388531746031747,1.9107817460317484,3120246576.0,5962110200.538865
121,2070004,11.400222222222222,13.338055555555556,1.9378333333333337,5897881945.0,11429112229.085836
122,2070005,11.627666666666666,13.479444444444445,1.8517777777777784,4330248300.0,8018657574.200003
123,2070006,11.28036111111111,13.148214285714285,1.8678531746031748,2677701436.0,5001553127.87208
124,2070007,12.244555555555555,14.144166666666665,1.8996111111111098,911248332.0,1731017456.4486654
125,2070008,12.70411111111111,14.5775,1.8733888888888899,3206860170.0,6007696210.698337
126,2070009,11.910305555555556,13.825238095238095,1.914932539682539,2511001295.0,4808398086.9804945
127,2070010,13.247666666666667,15.074523809523809,1.8268571428571416,3374298079.0,6164360547.750281
128,2070011,13.418833333333334,15.086309523809524,1.6674761904761901,4677377480.0,7799415581.769522
129,2080102,13.20511111111111,14.632222222222222,1.4271111111111114,1738815352.0,2481482709.0097785
130,2080103,12.943138888888889,14.793968253968254,1.850829365079365,4032085821.0,7462702840.02694
131,2080104,14.337250000000001,16.03543650793651,1.6981865079365086,2993911253.0,5084219695.803887
132,2080105,13.90413888888889,15.644523809523811,1.7403849206349218,2359394629.0,4106254834.1386256
133,2080106,13.825722222222222,15.587896825396827,1.7621746031746053,3812185369.0,6717736239.845612
134,2080107,14.934916666666668,16.528769841269842,1.5938531746031739,755954928.0,1204881161.8497138
135,2080108,15.560527777777777,17.039603174603172,1.4790753968253956,594891660.0,879889618.0826184
136,2080109,13.670305555555556,15.327222222222222,1.6569166666666657,2142432711.0,3549832466.067748
137,2080110,10.65486111111111,11.880714285714285,1.2258531746031753,2515300016.0,3083388509.6930175
138,2080111,13.799333333333333,15.277222222222221,1.477888888888888,2787729369.0,4119954259.6743307
139,2080201,11.141,12.987896825396826,1.8468968253968256,5728114577.0,10579236627.77058
140,2080202,11.582944444444445,13.42611111111111,1.843166666666665,2170813508.0,4001171097.49533
141,2080203,13.382777777777779,15.178888888888888,1.7961111111111094,5240267659.0,9412102967.526102
142,2080204,13.605472222222224,15.424047619047618,1.8185753968253948,1989412908.0,3617897368.6156626
143,2080205,13.753277777777779,15.522658730158732,1.7693809523809527,2447296765.0,4330200280.814525
144,2080206,15.038555555555554,16.669999999999998,1.631444444444444,3733157263.0,6090438676.958776
145,2080207,14.158722222222222,15.88936507936508,1.7306428571428576,4170672170.0,7217944000.495002
146,2080208,15.309333333333333,16.819523809523808,1.5101904761904752,1308417342.0,1975959408.770856
147,3010101,13.180583333333335,14.971984126984125,1.7914007936507907,5674644229.0,10165562175.51648
148,3010102,14.13488888888889,15.867698412698411,1.7328095238095216,4502552165.0,7802065272.961181
149,3010103,13.715972222222224,15.456547619047617,1.7405753968253936,5323709052.0,9266316995.76784
