,HUC 8,CNRM_RCP_45,HadGEM2_RCP_45,IPSL_RCP_45,CGCM3_RCP_45,NorESM_RCP_45,CNRM_RCP_85,HadGEM2_RCP_85,IPSL_RCP_85,CGCM3_RCP_85,NorESM_RCP_85
0,16060011,1.6642301587301596,3.33961507936508,2.116777777777777,1.0039087301587308,1.978880952380953,2.356809523809524,3.967948412698414,2.440111111111112,1.3768849206349216,2.6716984126984133
1,15030202,1.6417817460317483,3.304317460317458,2.094424603174604,1.0163055555555562,1.9611190476190463,2.2997976190476184,3.955666666666668,2.422638888888889,1.4036865079365075,2.6521507936507938
2,15030201,1.5874404761904763,3.467857142857145,2.4644325396825373,1.0925555555555526,2.181035714285713,2.1222023809523805,4.180039682539686,2.7898293650793637,1.5198174603174586,3.048178571428572
3,18100204,2.17218253968254,2.994940476190477,2.830801587301588,1.214773809523809,2.5720000000000027,2.8888492063492066,3.745575396825396,3.672587301587303,1.6901706349206336,2.995849206349208
4,16060013,1.895670634920636,2.496198412698416,2.674158730158732,1.1941269841269833,2.302484126984126,2.4963055555555567,3.300603174603175,3.545309523809527,1.5722619047619038,2.6778015873015875
5,18090208,1.8794047619047607,2.495896825396825,2.694698412698415,1.2006904761904753,2.2928373015873014,2.4761904761904763,3.2995079365079345,3.563388888888891,1.5673571428571424,2.670337301587302
6,16060003,2.363869047619048,2.734746031746033,2.680059523809524,1.1629444444444434,2.5366904761904774,2.7765674603174606,3.429507936507939,3.4543452380952395,1.4950476190476198,2.921730158730158
7,3050105,2.1210595238095244,2.5860833333333346,2.797726190476192,1.3176507936507935,2.346170634920634,2.877488095238096,3.2191785714285714,3.558440476190478,1.6654285714285724,2.7750992063492053
8,16040201,2.112912698412698,2.565011904761903,2.765408730158729,1.273535714285714,2.28436111111111,2.8917222222222225,3.1951706349206344,3.48588492063492,1.5831785714285722,2.7015039682539683
9,14030005,2.0703452380952374,2.608444444444446,2.810611111111111,1.331365079365078,2.323492063492065,2.8332023809523825,3.234912698412698,3.5972777777777782,1.6865634920634918,2.7571825396825407
10,3050102,1.984019841269843,2.598841269841268,2.773575396825395,1.3096111111111082,2.2694087301587302,2.706876984126984,3.237531746031745,3.550559523809522,1.673738095238095,2.7145674603174594
11,16060010,1.751492063492062,2.445432539682539,2.564797619047617,1.1981904761904758,2.127833333333335,2.380499999999998,3.172218253968253,3.308805555555555,1.4627936507936496,2.471960317460318
12,11140205,1.777476190476193,2.419980158730162,2.4590714285714306,1.1777976190476205,2.001416666666664,2.310214285714288,3.1357738095238084,3.2093492063492057,1.321646825396826,2.229710317460317
