,HUC 8,baseline tavgC,midterm tavgC,change (C),area (m2),weighted avg
1720,16040106,7.952,10.954960317460317,3.0029603174603174,2349350240.0,7055005542.535873
1721,16040107,8.156555555555554,11.026349206349206,2.8697936507936515,6160358949.0,17678958998.45005
1722,16040108,9.133638888888889,11.967222222222222,2.8335833333333333,6718202327.0,19036586143.748417
1723,16040109,7.442777777777778,10.423492063492064,2.9807142857142868,4612939973.0,13749856076.663576
1724,16040201,8.203944444444444,11.125674603174602,2.921730158730158,9128133127.0,26669941850.059723
1725,16040202,9.374611111111111,12.223968253968254,2.8493571428571425,8481708261.0,24167416017.110783
1726,16040203,8.509111111111112,11.280396825396824,2.771285714285712,6376566262.0,17671286988.076843
1727,16040204,7.026722222222222,9.795793650793652,2.7690714285714293,3357461260.0,9297050047.60143
1728,16040205,7.265277777777778,10.11063492063492,2.845357142857142,2998402990.0,8531527364.760712
1729,16050101,5.679222222222222,8.241785714285713,2.562563492063491,1312697538.0,3363870787.0004272
1730,16050102,7.141111111111112,9.760674603174603,2.6195634920634916,3152776160.0,8258897327.384126
1731,16050103,10.00511111111111,12.727619047619047,2.7225079365079363,3587839616.0,9767921829.477587
1732,16050104,9.613555555555557,12.394007936507936,2.7804523809523793,4304464686.0,11968359084.914135
1733,16050201,7.018083333333333,9.610515873015872,2.592432539682539,2482675033.0,6436167541.006621
1734,16050202,10.563472222222224,13.258134920634921,2.6946626984126976,2148979514.0,5790774936.028848
1735,16050203,10.888055555555555,13.66968253968254,2.7816269841269854,5633168372.0,15669373149.68588
1736,16050301,5.795,8.43702380952381,2.6420238095238098,3110411671.0,8217781692.202739
1737,16050302,6.560583333333333,9.185714285714287,2.625130952380954,2698117117.0,7082910756.985564
1738,16050303,10.359027777777778,13.070595238095239,2.711567460317461,2315826997.0,6279521128.789903
1739,16050304,9.486555555555556,12.18702380952381,2.7004682539682534,2093502666.0,5653437489.130903
1740,16060001,9.132805555555557,11.973214285714286,2.84040873015873,10470456584.0,29740376289.941555
1741,16060002,9.211083333333333,11.999642857142858,2.788559523809525,5390735737.0,15032387479.751709
1742,16060003,9.449305555555556,12.224404761904761,2.7750992063492053,5309599542.0,14734665475.036304
1743,16060004,7.8045833333333325,10.670992063492063,2.8664087301587307,4942740320.0,14167914004.155558
1744,16060005,6.669,9.557896825396826,2.8888968253968264,8089579987.0,23369961943.238
1745,16060006,7.01275,9.901904761904762,2.889154761904762,3742138975.0,10811618639.330654
1746,16060007,6.541638888888889,9.55202380952381,3.0103849206349214,10657671724.0,32083694247.006786
1747,16060008,6.856888888888889,9.840198412698411,2.983309523809522,13769309784.0,41078113014.89084
1748,16060009,9.544861111111112,12.329126984126985,2.7842658730158725,5618743927.0,15644076965.161287
1749,16060010,9.295916666666667,11.997420634920635,2.7015039682539683,7147325492.0,19308528179.040745
1750,16060011,9.781944444444443,12.539126984126984,2.7571825396825407,8395117782.0,23146872167.108818
1751,16060012,8.625361111111111,11.433055555555555,2.8076944444444436,12224093423.0,34321519192.12696
1752,16060013,11.551583333333333,14.266150793650793,2.7145674603174594,7140909264.0,19384479925.1339
1753,16060014,12.259333333333332,14.96765873015873,2.7083253968253977,13290424043.0,35994792970.23578
1754,16060015,16.418388888888888,19.037658730158732,2.619269841269844,7415549705.0,19423325698.743988
1755,17010101,3.697083333333333,6.465634920634921,2.768551587301588,5811546982.0,16089567621.693851
1756,17010102,3.7832777777777777,6.53718253968254,2.7539047619047623,2182970993.0,6011694212.722668
1757,17010103,3.0654166666666667,5.840396825396826,2.774980158730159,1598210142.0,4435001433.53131
1758,17010104,4.16,6.921706349206349,2.7617063492063485,2386188255.0,6589951254.235117
1759,17010105,3.6192777777777776,6.394444444444444,2.7751666666666663,852959526.0,2367104844.5709996
1760,17010201,3.269138888888889,6.204722222222223,2.935583333333334,4856234915.0,14255882279.22542
1761,17010202,2.623277777777778,5.521984126984127,2.898706349206349,4712858650.0,13661193291.667063
1762,17010203,2.6739722222222224,5.602142857142857,2.9281706349206345,5990075179.0,17539962240.11476
1763,17010204,4.107916666666666,6.927261904761904,2.819345238095238,5140053759.0,14491586088.990177
1764,17010205,3.175777777777778,6.0403174603174605,2.8645396825396827,7401700074.0,21202463580.229908
1765,17010206,1.471861111111111,4.3190873015873015,2.8472261904761904,2478388549.0,7056532786.889083
1766,17010207,1.6321666666666665,4.528849206349206,2.8966825396825397,2939428841.0,8514592200.363984
1767,17010208,5.381555555555555,8.222896825396825,2.84134126984127,3084459080.0,8764000879.140636
1768,17010209,1.7296666666666667,4.638412698412698,2.9087460317460314,4340515547.0,12625457373.068205
1769,17010210,3.189222222222222,5.992698412698412,2.8034761904761902,2018376723.0,5658471086.341857
1770,17010211,3.5316944444444447,6.41547619047619,2.8837817460317456,1888095381.0,5444854994.494654
1771,17010212,5.524583333333334,8.356626984126985,2.8320436507936506,5202806392.0,14734574808.77222
1772,17010213,4.192916666666666,6.9667063492063495,2.7737896825396833,6051766750.0,16786328172.28671
1773,17010214,5.785083333333334,8.566468253968255,2.7813849206349213,3141110245.0,8736636669.494864
1774,17010215,4.264166666666666,7.024801587301588,2.7606349206349217,2541676727.0,7016641529.521273
1775,17010216,4.584666666666666,7.336349206349206,2.75168253968254,2841342575.0,7818472752.884129
1776,17010301,4.881972222222222,7.676666666666667,2.7946944444444446,2322027243.0,6489356635.86075
1777,17010302,4.853416666666666,7.635198412698413,2.781781746031747,774407112.0,2154231568.158763
1778,17010303,7.3894166666666665,10.170396825396825,2.7809801587301584,1707210439.0,4747718357.6360035
1779,17010304,4.965916666666667,7.744166666666667,2.77825,4780718052.0,13282029927.969
