,HUC8,Avg_Y2015,Avg_Y2016,Avg_Y2017,Avg_Y2018,Avg_Y2019,Avg_Y2020,Avg_Y2021,Avg_Y2022,Avg_Y2023,Avg_Y2024,Avg_Y2025,Avg_Y2026,Avg_Y2027,Avg_Y2028,Avg_Y2029,Avg_Y2030,Avg_Y2031,Avg_Y2032,Avg_Y2033,Avg_Y2034,Avg_Y2035,Avg_Y2036,Avg_Y2037,Avg_Y2038,Avg_Y2039,Avg_Y2040,Avg_Y2041,Avg_Y2042,Avg_Y2043,Avg_Y2044,Avg_Y2045,Avg_Y2046,Avg_Y2047,Avg_Y2048,Avg_Y2049,Avg_Y2050,Avg_Y2051,Avg_Y2052,Avg_Y2053,Avg_Y2054,Avg_Y2055,Avg_Y2056,Avg_Y2057,Avg_Y2058,Avg_Y2059,Avg_Y2060,Avg_Y2061,Avg_Y2062,Avg_Y2063,Avg_Y2064,Avg_Y2065,Avg_Y2066,Avg_Y2067,Avg_Y2068,Avg_Y2069,Avg_Y2070,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070
0,18090208.0,2.18,2.22134276545119,2.2626855309023832,2.304028296353573,2.345371061804763,2.3867138272559534,2.4293767973207867,2.472039767385617,2.5147027374504503,2.55736570751528,2.60002867758011,2.6412439879454834,2.682459298310853,2.723674608676223,2.7648899190415968,2.806105229406967,2.8366494166776364,2.86719360394831,2.89773779121898,2.92828197848965,2.95882616576032,2.9920786967351702,3.02533122771002,3.0585837586848696,3.09183628965972,3.12508882063457,3.1516022712382896,3.1781157218420097,3.2046291724457334,3.231142623049453,3.2576560736531768,3.2897701894806133,3.3218843053080467,3.35399842113548,3.386112536962917,3.41822665279035,3.4504166712789464,3.48260668976754,3.5147967082561333,3.546986726744727,3.5791767452333203,3.60293167664028,3.626686608047244,3.6504415394542,3.67419647086116,3.69795140226812,3.720207146626947,3.742462890985774,3.7647186353446034,3.7869743797034303,3.809230124062257,3.83293122709724,3.8566323301322254,3.880333433167213,3.9040345362022,3.9277356392371865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16060003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16060011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16060013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16060010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16040201.0,0.4125,0.4203228856645025,0.428145771329005,0.4359686569935075,0.4437915426580125,0.451614428322515,0.45968712334625,0.467759818369985,0.47583251339372,0.483905208417455,0.49197790344119,0.4997766720309675,0.5075754406207476,0.515374209210525,0.5231729778003025,0.53097174639008,0.536751323109875,0.5425308998296675,0.5483104765494625,0.5540900532692575,0.5598696299890525,0.566161680001495,0.5724537300139375,0.57874578002638,0.5850378300388225,0.591329880051265,0.596346760039355,0.601363640027445,0.606380520015535,0.611397400003625,0.6164142799917125,0.62249091888108,0.628567557770445,0.63464419665981,0.640720835549175,0.6467974744385425,0.6528884756433775,0.658979476848215,0.6650704780530525,0.67116147925789,0.6772524804627275,0.681747392942255,0.6862423054217826,0.69073721790131,0.69523213038084,0.6997270428603675,0.7039382788915675,0.7081495149227675,0.7123607509539674,0.7165719869851676,0.7207832230163675,0.725267950081475,0.72975267714658,0.7342374042116875,0.7387221312767925,0.7432068583419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11140205.0,0.5033333333333333,0.5120743793553933,0.5208154253774534,0.5295564713995133,0.5382975174215733,0.5470385634436333,0.5561263470876033,0.5652141307315733,0.5743019143755433,0.5833896980195117,0.5924774816634817,0.6014047910236183,0.6103321003837551,0.6192594097438916,0.6281867191040283,0.637114028464165,0.6437335892566399,0.650353150049115,0.6569727108415884,0.6635922716340633,0.6702118324265384,0.6775328362168217,0.684853840007105,0.6921748437973884,0.6994958475876717,0.706816851377955,0.7125488460703516,0.7182808407627483,0.724012835455145,0.7297448301475417,0.7354768248399384,0.7425654471164767,0.7496540693930167,0.7567426916695567,0.7638313139460967,0.770919936222635,0.777988755407685,0.7850575745927334,0.7921263937777816,0.7991952129628316,0.80626403214788,0.811540440019995,0.8168168478921101,0.8220932557642233,0.8273696636363383,0.8326460715084516,0.8375881524601749,0.8425302334118966,0.8474723143636199,0.8524143953153417,0.8573564762670633,0.8625906611420966,0.8678248460171316,0.873059030892165,0.8782932157671984,0.8835274006422317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3050102.0,1.925,1.959807613393073,1.9946152267861483,2.0294228401792216,2.064230453572295,2.099038066965368,2.135255287698057,2.1714725084307416,2.207689729163428,2.2439069498961133,2.2801241706288,2.315686810237686,2.351249449846573,2.3868120894554603,2.422374729064345,2.457937368673232,2.484560182355683,2.5111829960381367,2.537805809720588,2.56442862340304,2.591051437085492,2.6203228316071736,2.649594226128853,2.678865620650535,2.7081370151722166,2.737408409693897,2.7605455396625502,2.783682669631203,2.806819799599855,2.829956929568508,2.85309405953716,2.88139395585904,2.90969385218092,2.9379937485027985,2.966293644824678,2.9945935411465565,3.022832139872776,3.0510707385989964,3.0793093373252165,3.107547936051436,3.1357865347776546,3.156926646372757,3.1780667579678585,3.1992068695629605,3.220346981158064,3.241487092753165,3.261311625235172,3.2811361577171763,3.3009606901991817,3.320785222681183,3.340609755163189,3.3615599396384632,3.3825101241137383,3.403460308589007,3.4244104930642965,3.44536067753957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15030201.0,0.765,0.779507897050535,0.794015794101065,0.8085236911516,0.82303158820213,0.837539485252665,0.852510665114865,0.867481844977065,0.882453024839265,0.897424204701465,0.912395384563665,0.926858555402885,0.94132172624211,0.955784897081335,0.97024806792056,0.984711238759785,0.995429726494675,1.006148214229565,1.01686670196446,1.02758518969935,1.03830367743424,1.04997257018459,1.06164146293494,1.073310355685285,1.084979248435635,1.096648141185985,1.105952173163895,1.115256205141805,1.12456023711972,1.13386426909763,1.14316830107554,1.15443770410673,1.165707107137915,1.176976510169105,1.18824591320029,1.199515316231475,1.21081135482954,1.2221073934276,1.23340343202566,1.244699470623725,1.255995509221785,1.264331528729275,1.27266754823676,1.28100356774425,1.289339587251735,1.297675606759225,1.305485535398905,1.313295464038585,1.321105392678265,1.328915321317945,1.336725249957625,1.345042380151095,1.353359510344565,1.361676640538035,1.369993770731505,1.378310900924975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15030202.0,0.765,0.779507897050535,0.794015794101065,0.8085236911516,0.82303158820213,0.837539485252665,0.852510665114865,0.867481844977065,0.882453024839265,0.897424204701465,0.912395384563665,0.926858555402885,0.94132172624211,0.955784897081335,0.97024806792056,0.984711238759785,0.995429726494675,1.006148214229565,1.01686670196446,1.02758518969935,1.03830367743424,1.04997257018459,1.06164146293494,1.073310355685285,1.084979248435635,1.096648141185985,1.105952173163895,1.115256205141805,1.12456023711972,1.13386426909763,1.14316830107554,1.15443770410673,1.165707107137915,1.176976510169105,1.18824591320029,1.199515316231475,1.21081135482954,1.2221073934276,1.23340343202566,1.244699470623725,1.255995509221785,1.264331528729275,1.27266754823676,1.28100356774425,1.289339587251735,1.297675606759225,1.305485535398905,1.313295464038585,1.321105392678265,1.328915321317945,1.336725249957625,1.345042380151095,1.353359510344565,1.361676640538035,1.369993770731505,1.378310900924975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
