HUC8 ID,p10,p50,p90
16060011,51.13566400924467,75.18974211987826,106.32778517988598
15030202,41.371057051992054,63.74928367040429,97.18158170810064
15030201,41.20170204563622,63.31719136701923,97.28038849205737
18100204,1075.8494754377095,1834.1373216650127,2900.029685404802
16060013,51.37251925861695,75.21573833225838,105.149068445131
18090208,1068.1449193185208,1701.5232305765157,2438.0644049499965
16060003,37.91919067095592,55.96029208266453,79.01756233922937
3050105,6.0148612039132905,10.845172028896066,18.473042656860294
16040201,416.9088056811536,565.325996465169,733.1413416055934
14030005,17.477788561773977,24.967340464568576,35.26998621488627
3050102,7.965612699651428,14.414992310272922,24.23001140235949
16060010,41.565689445511204,67.54540095792902,97.88272125877877
11140205,7.170762402763614,10.762007535387818,15.55504021416218
