HUC8 ID,p10,p50,p90
16060011,0.17298324468663676,0.17582257325039385,0.17870853353513533
15030202,0.3118137686528384,0.3166867978835973,0.3217449032849283
15030201,0.31193985628023185,0.31667962450406745,0.3216424828504253
18100204,3.0186447662399805,3.1226194453522425,3.230614944343232
16060013,0.1729881685030249,0.1757565023205532,0.17869183674960587
18090208,4.470851822354555,4.625603541501196,4.792398304200684
16060003,0.12192631520477325,0.12388804474049402,0.12593125615719494
3050105,0.19632176415384364,0.19874439175302466,0.20115568013797658
16040201,0.6526858680445577,0.6689923949246619,0.6872848693223703
14030005,0.08491914235552958,0.08644921978800707,0.08809867569706412
3050102,0.339151034127586,0.3430299392924359,0.34681316620570035
16060010,0.06128234564635887,0.06317512567844961,0.06514190644543481
11140205,0.22900878132329233,0.23602255945041745,0.24363374763185647
