HUC8 ID,p10,p50,p90
16060011,0.0,0.0,0.0
15030202,1.3015170981068889,1.4338506078288924,1.5997919359735346
15030201,1.30026467303018,1.4352152552724544,1.5981761547244686
18100204,0.0,0.0,0.0
16060013,0.0,0.0,0.0
18090208,3.7559555231416786,4.136305164626313,4.566894239606511
16060003,0.0,0.0,0.0
3050105,3.7081761788943024,4.128114644484903,4.616019791496448
16040201,0.6463862520533341,0.6880035094436187,0.7326871485367847
14030005,0.0,0.0,0.0
3050102,3.355004885369372,3.753488586456373,4.215354149177543
16060010,0.0,0.0,0.0
11140205,0.8614718399551771,0.9889403757564554,1.123688360336394
