HUC8 ID,p10,p50,p90
16060011,0.0,0.0,0.0
15030202,1.1416798693627748,1.1975871070560788,1.2523396179867954
15030201,1.1417512803156642,1.1988714362802078,1.2519788635774507
18100204,,,
16060013,0.0,0.0,0.0
18090208,3.2585421822346134,3.4152815555324567,3.5747921836839662
16060003,0.0,0.0,0.0
3050105,3.1545241974561287,3.307530895981465,3.4636060803300532
16040201,0.61539218289178,0.6457144369367475,0.6755868549698645
14030005,0.0,0.0,0.0
3050102,2.8522728290627577,2.990015859244804,3.1306788472222116
16060010,0.0,0.0,0.0
11140205,0.7353320258414379,0.7708403944580822,0.8049675626224571
