HUC8 ID,p10,p50,p90
16060011,0.0,0.0,0.0
15030202,1.2464625053949738,1.3506811676993382,1.4773356290160444
15030201,1.2464526941613219,1.3507666631715882,1.4780394838941626
18100204,0.0,0.0,0.0
16060013,0.0,0.0,0.0
18090208,3.532410505667408,3.8990656697754136,4.266478344717238
16060003,0.0,0.0,0.0
3050105,3.560896148873932,3.9285190882614804,4.423518831007477
16040201,0.6319295279335811,0.6724181400601972,0.7164918570229322
14030005,0.0,0.0,0.0
3050102,3.2157162627514384,3.5511740539073653,3.9881226983590903
16060010,0.0,0.0,0.0
11140205,0.8126577575133543,0.8982370271654024,1.0002992382785543
