HUC8 ID,p10,p50,p90
16060011,0.17299915351026984,0.17578051114419527,0.17860081644757003
15030202,0.31184081313872464,0.3167173852212458,0.32174114821910677
15030201,0.31186149623501086,0.3167149412769854,0.3217022977541084
18100204,3.0202781938409675,3.1226078748309822,3.229636363194277
16060013,0.1730070905970591,0.17581182115457955,0.1787120118913311
18090208,4.470856604697669,4.626960565700779,4.792882301878032
16060003,0.12189934310699457,0.12385673947226117,0.12595022392518115
3050105,0.196287459314675,0.19874296337056258,0.20113249231101207
16040201,0.6519582636268539,0.6692840124946918,0.6873146047509199
14030005,0.08495814761565883,0.08646171180922974,0.08809448658077808
3050102,0.33906765458380456,0.3430268164786314,0.3468181628757301
16060010,0.061282229125450075,0.0631528744156364,0.0651815236018458
11140205,0.22907722503515696,0.23614051787334933,0.24357617460977046
