HUC8 ID,p10,p50,p90
16060011,0.0,0.0,0.0
15030202,1.3564099227512523,1.5495549467777585,1.7902839057982487
15030201,1.3533281205231305,1.5474867915303194,1.7973035794108558
18100204,0.0,0.0,0.0
16060013,0.0,0.0,0.0
18090208,3.8820387159801144,4.440586483729502,5.080776900479212
16060003,0.0,0.0,0.0
3050105,3.595614157282458,4.146322711286628,4.761179107303983
16040201,0.6598471649345431,0.7144453977303067,0.7790722554726821
14030005,0.0,0.0,0.0
3050102,3.270230191956881,3.7713317426592123,4.356450674932886
16060010,0.0,0.0,0.0
11140205,0.8987603961903735,1.051301313662648,1.2678729924128358
