HUC8 ID,p10,p50,p90
16060011,0.0,0.0,0.0
15030202,1.3015567133459367,1.4341182955176492,1.595867158416224
15030201,1.303205920326787,1.435452553607163,1.5988664166292217
18100204,0.0,0.0,0.0
16060013,0.0,0.0,0.0
18090208,3.751409772438376,4.135857584788241,4.57533910825562
16060003,0.0,0.0,0.0
3050105,3.709165589998578,4.135807308263069,4.625754343781701
16040201,0.6464684359578101,0.6874263538390799,0.7320198307972612
14030005,0.0,0.0,0.0
3050102,3.3615722610464775,3.7596328364844855,4.222877400615728
16060010,0.0,0.0,0.0
11140205,0.8611508539819538,0.9889392571032432,1.123278894686474
