,HUC8,Avg_Y2015,Avg_Y2016,Avg_Y2017,Avg_Y2018,Avg_Y2019,Avg_Y2020,Avg_Y2021,Avg_Y2022,Avg_Y2023,Avg_Y2024,Avg_Y2025,Avg_Y2026,Avg_Y2027,Avg_Y2028,Avg_Y2029,Avg_Y2030,Avg_Y2031,Avg_Y2032,Avg_Y2033,Avg_Y2034,Avg_Y2035,Avg_Y2036,Avg_Y2037,Avg_Y2038,Avg_Y2039,Avg_Y2040,Avg_Y2041,Avg_Y2042,Avg_Y2043,Avg_Y2044,Avg_Y2045,Avg_Y2046,Avg_Y2047,Avg_Y2048,Avg_Y2049,Avg_Y2050,Avg_Y2051,Avg_Y2052,Avg_Y2053,Avg_Y2054,Avg_Y2055,Avg_Y2056,Avg_Y2057,Avg_Y2058,Avg_Y2059,Avg_Y2060,Avg_Y2061,Avg_Y2062,Avg_Y2063,Avg_Y2064,Avg_Y2065,Avg_Y2066,Avg_Y2067,Avg_Y2068,Avg_Y2069,Avg_Y2070
0,18090208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16060003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16060011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16060013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16060010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16040201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11140205.0,0.0166666666666666,0.0165374146485908,0.016408162630515,0.0162789106124392,0.0161496585943634,0.0160204065762876,0.0159247205463961,0.0158290345165046,0.0157333484866131,0.0156376624567215,0.01554197642683,0.0155238431197425,0.0155057098126549,0.0154875765055674,0.0154694431984798,0.0154513098913922,0.0154513371983217,0.0154513645052512,0.0154513918121807,0.0154514191191102,0.0154514464260396,0.0154871357690671,0.0155228251120946,0.015558514455122,0.0155942037981495,0.0156298931411769,0.0157275290430786,0.0158251649449802,0.0159228008468818,0.0160204367487834,0.016118072650685,0.016235513203395,0.016352953756105,0.0164703943088151,0.0165878348615251,0.0167052754142351,0.016807952592395,0.0169106297705546,0.0170133069487144,0.0171159841268743,0.0172186613050341,0.0173613922054771,0.0175041231059201,0.0176468540063631,0.017789584906806,0.017932315807249,0.018083574299936,0.0182348327926229,0.0183860912853098,0.0185373497779968,0.0186886082706836,0.0188602385432001,0.0190318688157164,0.0192034990882328,0.0193751293607493,0.0195467596332656
7,3050102.0,0.1483333333333333,0.1475698628918493,0.1468063924503651,0.146042922008881,0.145279451567397,0.1445159811259128,0.1439588751329826,0.1434017691400525,0.1428446631471223,0.1422875571541921,0.141730451161262,0.1418063101978776,0.1418821692344933,0.141958028271109,0.1420338873077246,0.1421097463443403,0.1423159634679445,0.1425221805915485,0.1427283977151526,0.1429346148387568,0.143140831962361,0.1436497004298406,0.1441585688973203,0.1446674373648,0.1451763058322796,0.1456851742997593,0.1467471393899271,0.1478091044800951,0.1488710695702631,0.1499330346604311,0.1509949997505991,0.1522279126404506,0.1534608255303021,0.1546937384201536,0.1559266513100051,0.1571595641998568,0.1582359603605531,0.1593123565212496,0.1603887526819461,0.1614651488426426,0.1625415450033391,0.1639810923938331,0.1654206397843271,0.1668601871748216,0.168299734565315,0.1697392819558083,0.17125189990984,0.1727645178638716,0.1742771358179033,0.1757897537719349,0.1773023717259666,0.1789955877665883,0.1806888038072116,0.1823820198478333,0.184075235888455,0.1857684519290783
8,15030201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15030202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3050105.0,2.534,2.5361186304520404,2.5382372609040886,2.5403558913561293,2.5424745218081712,2.544593152260218,2.547733557648148,2.5508739630360764,2.554014368424005,2.557154773811934,2.5602951791998634,2.573167968117009,2.586040757034154,2.598913545951306,2.611786334868451,2.6246591237855967,2.6387090400909727,2.652758956396342,2.666808872701712,2.6808587890070807,2.6949087053124567,2.7136734175387205,2.732438129764991,2.751202841991255,2.7699675542175246,2.788732266443789,2.817421580082756,2.8461108937217285,2.874800207360696,2.903489520999669,2.9321788346386355,2.963743469066677,2.995308103494712,3.0268727379227536,3.0584373723507885,3.0900020067788243,3.118109393842678,3.146216780906532,3.174324167970387,3.20243155503424,3.2305389420980943,3.2654938023820845,3.300448662666082,3.335403522950072,3.3703583832340613,3.4053132435180578,3.441437592757552,3.477561941997045,3.5136862912365388,3.549810640476025,3.58593498971552,3.62551137607332,3.6650877624311153,3.704664148788909,3.744240535146703,3.7838169215044974
11,14030005.0,0.0466666666666666,0.046656090513359,0.0466455143600509,0.0466349382067433,0.0466243620534353,0.0466137859001276,0.0466972489743533,0.0467807120485793,0.0468641751228049,0.0469476381970306,0.0470311012712563,0.04734476215624,0.047658423041224,0.0479720839262076,0.0482857448111913,0.048599405696175,0.048962665316496,0.0493259249368166,0.0496891845571376,0.0500524441774586,0.0504157037977793,0.0508861195724906,0.0513565353472023,0.0518269511219136,0.052297366896625,0.0527677826713363,0.0534464224980543,0.0541250623247723,0.0548037021514903,0.0554823419782083,0.0561609818049266,0.0569084189361013,0.0576558560672759,0.058403293198451,0.0591507303296256,0.0598981674608003,0.06058879150868,0.0612794155565593,0.0619700396044386,0.062660663652318,0.0633512877001973,0.064190051590685,0.0650288154811723,0.0658675793716596,0.066706343262147,0.0675451071526343,0.0684125163150716,0.0692799254775093,0.0701473346399466,0.0710147438023843,0.0718821529648219,0.07283003909021,0.0737779252155983,0.0747258113409866,0.0756736974663749,0.0766215835917633
12,18100204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
