,Proposed Site Name,resource_1,r1,r2,capacity,p10 percent diff,p50 percent diff,p90 percent diff
0,Basin,0.659,659000.0,1269071.3174560342,16238.16611477996,-73.35204642238286,-2.098206800400701,272.8175036626924
1,Big Sandy,0.151,151000.0,325724.5654211072,9764.259145178963,-71.53029762536731,-2.3449211410468784,251.49952157481772
2,Clayton Ridge,2.248,2248000.0,3938789.597289482,24802.69574025323,-74.75489723996209,-2.043018918392236,292.66678528731626
3,Clayton Valley (ACME),2.248,2248000.0,3938789.597289482,24802.69574025323,-74.75489723996209,-2.043018918392236,292.66678528731626
4,Horizon,1.32,1320000.0,2409597.6417100336,20638.610701735382,-74.23661734495519,-2.0751234162321692,283.86549782094255
5,Lone Mountain,2.627,2627000.0,4547957.924498622,26173.183682177336,-74.9230220958545,-1.840502650815985,294.9550723045909
6,McGee,1.369,1369000.0,2492040.944774224,20899.930411967252,-74.27787211330335,-2.0681715483835337,285.22043461363495
7,Nevada North,1.369,1369000.0,2492040.944774224,20899.930411967252,-74.27787211330335,-2.0681715483835337,285.22043461363495
8,West Tonopah,0.212,212000.0,445515.4716504658,10977.612306641799,-72.07737504279879,-2.5437958289209117,255.83548064105847
