,Unnamed: 0,Deposit Type,Extraction Process,Average (kg/kg LCE),Minimum (kg/kg LCE),Maximum (kg/kg LCE),p10 percent diff,p50 percent diff,p90 percent diff
0,0,BR,EVAP,136.5496362,6.554601047,474.0,-36.39022098046221,41.451980431024424,154.71607242726958
1,1,BR,DLE,239.7147757,0.08,757.5,-43.819232834284165,31.29054850566934,131.35675318584128
2,2,HR,AL,42.41241393,15.08857001,115.0749758,-26.150600687412147,28.221491954629812,106.46157155329739
3,3,CSC,AL,119.1176062,54.30107,194.8477583,-28.916055626042617,2.3711093200065827,36.15958367847671
4,4,OFB,DLE,70.91193366,21.22786733,120.596,-39.81381934389529,0.06593180618254546,38.94559735505637
