,Proposed Site Name,capacity,p10 percent diff,p50 percent diff,p90 percent diff,perc diff p10 p90
0,Basin,16238.16611477996,1374942.2437289383,1980114.6937062433,2633668.7579293996,0.6280113055019476
1,Big Sandy,9764.259145178963,826773.9277037868,1190673.4338015132,1583665.5490041913,0.6280113055019477
2,Clayton Ridge,24802.69574025323,2100130.882427056,3024490.692584973,4022750.132114824,0.6280113055019477
3,Clayton Valley (ACME),24802.69574025323,2100130.882427056,3024490.692584973,4022750.132114824,0.6280113055019477
4,Horizon,20638.610701735382,1747543.2573548749,2516713.7729298277,3347377.026938636,0.6280113055019476
5,Lone Mountain,26173.183682177336,2216174.88348931,3191610.75356779,4245029.621698269,0.6280113055019478
6,McGee,20899.930411967252,1769670.109991871,2548579.624918754,3389760.480328881,0.6280113055019477
7,Nevada North,20899.930411967252,1769670.109991871,2548579.624918754,3389760.480328881,0.6280113055019477
8,West Tonopah,10977.612306641799,929512.7780434712,1338632.163049926,1780459.3427793968,0.6280113055019477
