,Deposit,p10,p50,p90
0,brine evap (m3/t LCE),86.85892183880279,193.15216467625905,347.81387024236517
1,brine dle (m3/t LCE),134.67359999783494,314.7228438656649,554.596321966242
2,hr (m3/t LCE),31.321312921273336,54.38182991501924,87.56533633356761
3,csc (m3/t LCE),84.67349293079761,121.94201486237694,162.19003668968736
4,ofb (m3/t LCE),42.67918449934473,70.95868717866101,98.5290098199083
