,Proposed Site Name,Product,resource_1,ac_p10 (tons/yr),ac_p50 (tons/yr),ac_p90 (tons/yr)
0,Basin,LCE,0.659,4371.145509612257,15819.636911562768,59745.55924328608
1,Big Sandy,LCE,0.151,2791.3071247852754,9479.878203212545,33828.58141103071
2,Clayton Ridge,LCE,2.248,6335.456945892159,24100.484521445025,95695.79267098663
3,Clayton Valley (ACME),LCE,2.248,6335.456945892159,24100.484521445025,95695.79267098663
4,Horizon,LCE,1.32,5409.860625836509,20025.481276886545,77898.54541956785
5,Lone Mountain,LCE,2.627,6620.576079591406,25395.614190625394,101942.6455527829
6,McGee,LCE,1.369,5468.952593516118,20275.846280586484,78944.32305567738
7,Nevada North,LCE,1.369,5468.952593516118,20275.846280586484,78944.32305567738
8,West Tonopah,LCE,0.212,3101.958838050399,10671.216754434856,38556.90050991258
