,Proposed Site Name,Product,resource_1,ac_p10 (tons/yr),ac_p50 (tons/yr),ac_p90 (tons/yr)
0,Basin,LCE,0.659,4459.18176578195,15783.432615532689,60131.60163636525
1,Big Sandy,LCE,0.151,2860.678164838748,9516.575658342186,34105.531434471726
2,Clayton Ridge,LCE,2.248,6459.009511679801,24057.016226093787,96292.54549652967
3,Clayton Valley (ACME),LCE,2.248,6459.009511679801,24057.016226093787,96292.54549652967
4,Horizon,LCE,1.32,5477.121359239331,20023.45180552786,78576.09402040631
5,Lone Mountain,LCE,2.627,6760.997665988407,25385.69201379571,102341.91324842266
6,McGee,LCE,1.369,5538.566611133431,20295.252606770897,79722.08567051437
7,Nevada North,LCE,1.369,5538.566611133431,20295.252606770897,79722.08567051437
8,West Tonopah,LCE,0.212,3173.704713760715,10680.24621843579,38931.383280741175
