,Deposit,p10,p50,p90
0,brine evap (m3/t LCE),84.67969558842029,192.95777596460692,348.7791682678328
1,brine dle (m3/t LCE),133.43886787383687,313.7477201954889,562.7697389198871
2,hr (m3/t LCE),85.3193742992489,193.834503603234,344.8120909009757
3,csc (m3/t LCE),83.92366956254502,121.82572503685054,162.96795999347643
4,ofb (m3/t LCE),42.680004287728764,70.4812412336408,98.41884516414544
